scope,n,pearson,spearman
GLOBALE,1456,0.1749,0.022
MERCATO=SEGNO,405,0.2375,-0.0294
MERCATO=DOPPIA_CHANCE,265,0.1149,0.0897
MERCATO=GOL,786,0.0744,0.094
GRUPPO=A,116,0.1679,0.1257
GRUPPO=S,8,,
GRUPPO=C,519,0.289,0.0695
GRUPPO=A+S,263,-0.0154,0.0755
GRUPPO=C-derivati,525,0.0051,-0.026
GRUPPO=Altro,25,-0.128,0.0766
A × SEGNO,0,,
A × DOPPIA_CHANCE,0,,
A × GOL,116,0.1679,0.1257
S × SEGNO,0,,
S × DOPPIA_CHANCE,0,,
S × GOL,8,,
C × SEGNO,331,0.3048,0.0501
C × DOPPIA_CHANCE,0,,
C × GOL,188,0.1079,0.0975
A+S × SEGNO,0,,
A+S × DOPPIA_CHANCE,54,0.0338,0.0957
A+S × GOL,209,0.0041,0.148
C-derivati × SEGNO,71,0.1231,-0.0252
C-derivati × DOPPIA_CHANCE,211,0.1369,0.0788
C-derivati × GOL,243,0.0516,0.0871
Altro × SEGNO,3,,
Altro × DOPPIA_CHANCE,0,,
Altro × GOL,22,-0.1461,0.279
