gruppo,stake,n,hr,roi_unit,pl_unit,pl_ponderato
A,3,23,73.91,23.17,5.33,15.99
A,4,19,94.74,119.0,22.61,90.44
A,5,16,62.5,0.44,0.07,0.35
A,6,25,56.0,-0.24,-0.06,-0.36
A,7,16,56.25,-65.5,-10.48,-73.36
A,8,15,66.67,48.33,7.25,58.0
A,9,1,0.0,-900.0,-9.0,-81.0
A,10,1,100.0,45.0,0.45,4.5
A+S,1,36,63.89,1.81,0.65,0.65
A+S,2,3,33.33,-61.67,-1.85,-3.7
A+S,3,36,58.33,-10.97,-3.95,-11.85
A+S,4,21,61.9,7.33,1.54,6.16
A+S,5,22,72.73,12.82,2.82,14.1
A+S,6,41,63.41,-14.02,-5.75,-34.5
A+S,7,45,62.22,-53.27,-23.97,-167.79
A+S,8,15,66.67,-8.6,-1.29,-10.32
A+S,9,16,81.25,20.37,3.26,29.34
A+S,10,28,67.86,45.21,12.66,126.6
Altro,1,1,100.0,88.0,0.88,0.88
Altro,3,6,33.33,-34.67,-2.08,-6.24
Altro,4,7,71.43,40.29,2.82,11.28
Altro,6,2,50.0,-6.5,-0.13,-0.78
Altro,7,7,42.86,-213.71,-14.96,-104.72
Altro,8,1,100.0,1160.0,11.6,92.8
Altro,10,1,100.0,420.0,4.2,42.0
C,1,37,43.24,-9.27,-3.43,-3.43
C,2,58,41.38,-43.93,-25.48,-50.96
C,3,55,52.73,16.67,9.17,27.51
C,4,67,56.72,13.06,8.75,35.0
C,5,38,52.63,-7.82,-2.97,-14.85
C,6,40,65.0,86.5,34.6,207.6
C,7,69,57.97,92.75,64.0,448.0
C,8,51,54.9,33.92,17.3,138.4
C,9,44,63.64,137.32,60.42,543.78
C,10,60,66.67,67.68,40.61,406.1
C-derivati,1,118,49.15,-15.87,-18.73,-18.73
C-derivati,2,66,56.06,4.53,2.99,5.98
C-derivati,3,46,47.83,-70.96,-32.64,-97.92
C-derivati,4,47,63.83,9.06,4.26,17.04
C-derivati,5,61,63.93,19.36,11.81,59.05
C-derivati,6,22,59.09,17.95,3.95,23.7
C-derivati,7,37,59.46,20.14,7.45,52.15
C-derivati,8,26,73.08,73.19,19.03,152.24
C-derivati,9,56,53.57,-72.21,-40.44,-363.96
C-derivati,10,46,69.57,-78.78,-36.24,-362.4
S,3,2,100.0,79.5,1.59,4.77
S,5,2,50.0,-232.5,-4.65,-23.25
S,6,2,50.0,74.0,1.48,8.88
S,7,2,50.0,352.5,7.05,49.35
