tipo,stake,n,hr,roi_unit,pl_unit,pl_ponderato
DOPPIA_CHANCE,1,20,35.0,-43.1,-8.62,-8.62
DOPPIA_CHANCE,2,15,46.67,-36.27,-5.44,-10.88
DOPPIA_CHANCE,3,20,50.0,-41.6,-8.32,-24.96
DOPPIA_CHANCE,4,21,61.9,-0.19,-0.04,-0.16
DOPPIA_CHANCE,5,29,68.97,11.48,3.33,16.65
DOPPIA_CHANCE,6,24,62.5,11.42,2.74,16.44
DOPPIA_CHANCE,7,24,62.5,110.87,26.61,186.27
DOPPIA_CHANCE,8,23,69.57,39.04,8.98,71.84
DOPPIA_CHANCE,9,45,57.78,-28.69,-12.91,-116.19
DOPPIA_CHANCE,10,44,72.73,75.52,33.23,332.3
GOL,1,124,57.26,-2.71,-3.36,-3.36
GOL,2,64,53.12,-23.95,-15.33,-30.66
GOL,3,126,61.11,1.21,1.53,4.59
GOL,4,100,69.0,20.42,20.42,81.68
GOL,5,79,64.56,4.77,3.77,18.85
GOL,6,93,63.44,23.7,22.04,132.24
GOL,7,113,61.95,-22.11,-24.98,-174.86
GOL,8,34,70.59,71.24,24.22,193.76
GOL,9,19,84.21,155.84,29.61,266.49
GOL,10,34,70.59,-68.26,-23.21,-232.1
SEGNO,1,48,41.67,-18.02,-8.65,-8.65
SEGNO,2,48,43.75,-7.44,-3.57,-7.14
SEGNO,3,22,27.27,-71.77,-15.79,-47.37
SEGNO,4,40,55.0,49.0,19.6,78.4
SEGNO,5,31,48.39,-0.06,-0.02,-0.1
SEGNO,6,15,46.67,62.07,9.31,55.86
SEGNO,7,39,46.15,70.41,27.46,192.22
SEGNO,8,51,54.9,40.57,20.69,165.52
SEGNO,9,53,54.72,-4.64,-2.46,-22.14
SEGNO,10,58,63.79,20.1,11.66,116.6
