league,n,hr,pl,roi
Primera División,144,59.72,-43.27,-30.05
Championship,87,55.17,-3.87,-4.45
Major League Soccer,80,60.0,42.41,53.01
Serie C - Girone A,75,57.33,-29.04,-38.72
Serie B,70,61.43,-14.21,-20.3
Eredivisie,64,67.19,2.17,3.39
Serie C - Girone B,62,61.29,50.02,80.68
LaLiga 2,61,72.13,54.82,89.87
Serie C - Girone C,59,59.32,28.25,47.88
Ligue 2,58,60.34,-5.56,-9.59
2. Bundesliga,54,61.11,5.86,10.85
Serie A,53,56.6,-17.86,-33.7
Bundesliga,52,63.46,-0.95,-1.83
Premier League,47,53.19,-9.73,-20.7
Eerste Divisie,43,62.79,-10.01,-23.28
League Two,42,59.52,31.98,76.14
Ligue 1,42,54.76,-4.86,-11.57
Liga Portugal,40,50.0,-44.46,-111.15
Süper Lig,38,52.63,-9.03,-23.76
La Liga,38,50.0,-30.02,-79.0
League One,37,43.24,-15.74,-42.54
Brasileirão Serie A,33,60.61,-1.79,-5.42
League of Ireland Premier Division,26,57.69,-6.33,-24.35
3. Liga,26,46.15,-30.84,-118.62
Jupiler Pro League,24,62.5,3.56,14.83
Scottish Premiership,24,62.5,102.24,426.0
