motore,tier,mercato,n,hr,pl,roi
A,TOP,SEGNO,91,47.25,-10.23,-11.24
A,TOP,DOPPIA_CHANCE,20,70.0,-1.09,-5.45
A,TOP,GOL,133,60.15,-4.1,-3.08
A,Seconde,SEGNO,208,52.88,4.52,2.17
A,Seconde,DOPPIA_CHANCE,42,78.57,3.0,7.14
A,Seconde,GOL,173,59.54,-7.32,-4.23
A,Altro,SEGNO,212,47.64,-13.9,-6.56
A,Altro,DOPPIA_CHANCE,52,63.46,-6.9,-13.27
A,Altro,GOL,383,59.53,-21.52,-5.62
S,TOP,SEGNO,94,46.81,-10.93,-11.63
S,TOP,DOPPIA_CHANCE,21,71.43,-0.79,-3.76
S,TOP,GOL,138,61.59,-0.08,-0.06
S,Seconde,SEGNO,208,52.88,4.82,2.32
S,Seconde,DOPPIA_CHANCE,43,79.07,3.42,7.95
S,Seconde,GOL,179,59.22,-9.02,-5.04
S,Altro,SEGNO,216,48.61,-9.33,-4.32
S,Altro,DOPPIA_CHANCE,53,64.15,-6.45,-12.18
S,Altro,GOL,395,59.49,-22.18,-5.62
C,TOP,SEGNO,226,49.56,-13.6,-6.02
C,TOP,DOPPIA_CHANCE,0,,0.0,
C,TOP,GOL,465,53.98,-20.35,-4.38
C,Seconde,SEGNO,559,48.48,14.79,2.65
C,Seconde,DOPPIA_CHANCE,0,,0.0,
C,Seconde,GOL,1044,53.64,-93.75,-8.98
C,Altro,SEGNO,532,49.81,17.55,3.3
C,Altro,DOPPIA_CHANCE,0,,0.0,
C,Altro,GOL,1064,53.95,-35.32,-3.32
