week,sub_motore,total,aumenta,riduci,contraddittorio
2026-W11,quote,168,41,119,True
2026-W11,strisce,150,30,115,True
2026-W11,dna,20,6,12,True
2026-W11,att_vs_def,26,6,16,True
2026-W11,media_gol,35,6,23,True
2026-W11,h2h_gol,15,5,8,True
2026-W11,media_lega,6,3,3,True
2026-W11,xg,21,6,13,True
2026-W11,affidabilita,10,4,1,True
2026-W11,lucifero,3,2,1,True
2026-W12,quote,28,5,19,True
2026-W12,media_gol,22,4,11,True
2026-W12,dna,7,1,4,True
2026-W12,att_vs_def,9,1,3,True
2026-W12,strisce,35,11,18,True
2026-W12,bvs,11,1,8,True
2026-W12,confidence,2,1,1,True
2026-W13,strisce,33,13,17,True
2026-W13,quote,15,6,6,True
2026-W13,confidence,4,1,2,True
2026-W13,att_vs_def,10,6,3,True
2026-W13,media_gol,10,4,5,True
2026-W13,edge,6,3,1,True
2026-W14,strisce,39,9,4,True
2026-W14,att_vs_def,14,4,3,True
2026-W14,media_gol,18,3,2,True
2026-W14,quote,16,2,2,True
2026-W14,h2h_gol,7,1,1,True
2026-W14,edge,12,1,1,True
2026-W14,bvs,7,2,1,True
2026-W15,motivazioni,10,4,1,True
2026-W15,strisce,74,21,6,True
2026-W15,att_vs_def,34,10,1,True
2026-W15,media_gol,46,16,3,True
2026-W15,h2h,15,4,5,True
2026-W15,edge,24,9,4,True
2026-W15,confidence,20,7,3,True
2026-W15,bvs,15,5,2,True
2026-W15,h2h_gol,18,7,1,True
2026-W15,quote,26,5,4,True
2026-W15,xg,18,5,1,True
2026-W15,campo,10,3,3,True
2026-W15,media_lega,8,2,1,True
2026-W15,affidabilita,17,6,1,True
2026-W16,h2h_gol,7,3,1,True
2026-W16,strisce,46,10,6,True
2026-W16,media_gol,21,5,2,True
2026-W16,xg,15,5,1,True
2026-W16,quote,18,2,2,True
2026-W16,h2h,16,1,5,True
2026-W16,confidence,13,1,3,True
2026-W16,bvs,10,3,1,True
2026-W16,motivazioni,15,2,1,True
2026-W16,edge,14,4,1,True
